order_id,origin_port,3pl,customs_procedures,logistic_hub,customer,product_id,units,weight,material_handling,distance_port_hub,distance_hub_customer,distance_total,is_direct_shippment,prob_prod_late
d3e1d2614f20,Rotterdam,v_004,DTP,Zaragoza,Barcelona,1699242,575,796.0,0.0,1212.1854,257.0251,1469.2105000000001,0,0.2
9051ca11d2f8,Athens,v_004,CRF,Bratislava,Turin,1650715,438,1895.0,4.0,1250.4735,798.6767,2049.1502,0,0.6
d1c1bdc5d9f7,Rotterdam,v_002,DTD,Zaragoza,Madrid,1652887,533,1062.0,3.0,1212.1854,274.1376,1486.323,0,0.1
ca9b4836f1f9,Rotterdam,v_004,DTP,Bratislava,Copenhagen,1676566,447,1768.0,3.0,995.7185,894.1859,1889.9044,0,0.2
b24db9cf96eb,Barcelona,v_004,CRF,Zaragoza,Marseille,1682799,468,1137.0,3.0,257.0251,545.3384,802.3634999999999,0,0.1
46af4693cd69,Rotterdam,v_004,DTD,Bratislava,Munich,1699694,500,329.0,3.0,995.7185,411.7316,1407.4501,0,0.5
0a46a4286fb6,Rotterdam,v_002,DTD,Dusseldorf,Rome,1662238,474,1572.0,0.0,177.3075,1125.029,1302.3365,0,0.2
aacb3e1b33c1,Rotterdam,v_003,DTD,Rome,Munich,1676565,403,1758.0,2.0,1269.2365,697.5485,1966.7849999999999,0,0.2
c9e3a96e7620,Rotterdam,v_002,DTD,Hamburg,Milan,1620510,507,1308.0,4.0,414.4489,901.2353,1315.6842000000001,0,0.1
e0bbd6dc2124,Rotterdam,v_004,CRF,Warsaw,Lyon,1644308,462,1088.0,3.0,1135.6449,1384.9215,2520.5663999999997,0,0.1
e761df3df392,Athens,v_004,CRF,Warsaw,Milan,1650715,500,1895.0,4.0,1597.0905,1149.4642,2746.5546999999997,0,0.6
8ed93ab778a6,Barcelona,v_003,DTD,Venlo,Bucharest,1694456,536,2785.0,5.0,1153.4178,1672.4754,2825.8932,0,0.7
c46609af0688,Athens,v_004,CRF,Rome,Amsterdam,1650880,496,202.0,4.0,1053.5083,1297.8466,2351.3549000000003,0,0.5
7857fdb71db2,Athens,v_002,CRF,Liege,Milan,1663337,428,1255.0,3.0,2008.8628,635.8256,2644.6884,0,0.1
6eea11848b90,Athens,v_002,CRF,Dusseldorf,Cologne,1666959,547,1830.0,3.0,1984.437,34.4291,2018.8661,0,0.2
d96042182df1,Barcelona,v_002,DTD,Hamburg,Berlin,1660897,383,1985.0,5.0,1473.6254,254.6944,1728.3198,0,0.4
9ae246762026,Rotterdam,v_002,CRF,Hamburg,Madrid,1622685,599,1230.0,3.0,414.4489,1787.4018,2201.8507,0,0.1
78db5bb6a328,Rotterdam,v_004,CRF,Zaragoza,Vienna,1681377,500,1142.0,2.0,1212.1854,1539.7663,2751.9517,0,0.1
7f16d1427b4f,Rotterdam,v_004,DTD,Hamburg,Vienna,1613321,554,1086.0,0.0,414.4489,743.8643,1158.3132,0,0.5
27ab0a828c44,Athens,v_004,DTP,Warsaw,Berlin,1682745,538,1576.0,5.0,1597.0905,523.8994,2120.9899,0,0.2
a66862c5ddbf,Rotterdam,v_004,CRF,Dusseldorf,Lyon,1657063,466,1842.0,4.0,177.3075,624.6864,801.9939,0,0.3
1.38E+11,Barcelona,v_003,CRF,Hamburg,Naples,1685952,518,553.0,3.0,1473.6254,1449.0449,2922.6702999999998,0,0.2
0215864565d4,Rotterdam,v_002,CRF,Dusseldorf,Madrid,1700118,433,1633.0,5.0,177.3075,1448.2241,1625.5315999999998,0,0.1
8a1782fb24c4,Rotterdam,v_004,DTP,Dusseldorf,Berlin,1650904,418,1163.0,0.0,177.3075,477.3717,654.6792,0,0.2
82cc27070cfc,Rotterdam,v_004,CRF,Warsaw,Athens,1699022,610,1611.0,4.0,1135.6449,1597.0905,2732.7354,0,0.1
f21bbf2204db,Athens,v_002,DTP,Bratislava,Lyon,1688600,500,1014.0,3.0,1250.4735,970.4925,2220.966,0,0.1
9479df381e25,Barcelona,v_004,DTD,Hamburg,Paris,1672345,402,1174.0,2.0,1473.6254,747.9185,2221.5438999999997,0,0.2
e1ad60b78f43,Barcelona,v_002,DTD,Warsaw,Bordeaux,1660579,439,969.0,5.0,1870.1057,1788.2674,3658.3731,0,0.1
1ab44bbf84b5,Rotterdam,v_004,DTP,Venlo,Hanover,1680915,488,1653.0,5.0,130.0459,270.062,400.1079,0,0.2
c257b5fe2ebe,Rotterdam,v_002,CRF,Warsaw,Bucharest,1687521,578,1321.0,3.0,1135.6449,943.3275,2078.9724,0,0.1
ae7bdbcf4a34,Rotterdam,v_001,DTP,Direct shippment,Copenhagen,1699325,506,932.0,5.0,338.59755,338.59755,677.1951,1,0.1
cfb77af236a1,Rotterdam,v_002,DTD,Dusseldorf,Paris,1672706,515,1684.0,5.0,177.3075,413.6191,590.9266,0,0.2
e4faf8484e9e,Rotterdam,v_002,CRF,Hamburg,Barcelona,1697083,474,2127.0,3.0,414.4489,1473.6254,1888.0742999999998,0,0.5
c96bf16b758d,Rotterdam,v_002,DTP,Lille,Marseille,1690621,453,744.0,5.0,173.9644,834.5826,1008.547,0,0.2
289ab4b40bcd,Rotterdam,v_004,DTD,Lille,Berlin,1683419,490,973.0,4.0,173.9644,744.9913,918.9557,0,0.1
dd9089387a91,Rotterdam,v_004,CRF,Venlo,Copenhagen,1697085,513,1211.0,3.0,130.0459,639.4113,769.4572,0,0.5
d93ccb79c6b1,Athens,v_004,DTP,Venlo,Athens,1687661,494,351.0,5.0,0.0,0.0,0.0,0,0.4
2bc5bebef7c8,Athens,v_001,DTD,Venlo,Stockholm,1651377,533,1372.0,4.0,2029.5726,1159.0472,3188.6198,0,0.1
ffc5bd21f9cc,Athens,v_004,DTD,Lille,Malmö,1671834,531,1194.0,5.0,2153.58,863.6312,3017.2111999999997,0,0.1
23e372f00eae,Athens,v_003,DTP,Dusseldorf,Stockholm,1683634,527,1333.0,1.0,1984.437,1149.3691,3133.8061,0,0.1
3799535e0ba4,Barcelona,v_004,DTD,Venlo,Madrid,1699424,524,711.0,2.0,1153.4178,1436.9241,2590.3419,0,0.2
edfb07974b49,Athens,v_004,DTP,Dusseldorf,Marseille,1696799,467,561.0,5.0,1984.437,887.8947,2872.3316999999997,0,0.2
8a42c9eea58e,Athens,v_002,DTD,Liege,Rome,1679995,414,1198.0,3.0,2008.8628,1107.929,3116.7918,0,0.1
47503dbbbdd1,Rotterdam,v_004,DTP,Zaragoza,Madrid,1683700,475,1451.0,3.0,1212.1854,274.1376,1486.323,0,0.1
8bafc7945806,Rotterdam,v_004,DTP,Warsaw,Amsterdam,1662551,519,2361.0,5.0,1135.6449,1101.3447,2236.9896,0,0.5
94b2b20a5a6a,Barcelona,v_003,DTD,Bratislava,Copenhagen,1689457,490,1058.0,2.0,1397.414,894.1859,2291.5999,0,0.1
c6440780240a,Rotterdam,v_002,CRF,Lille,Munich,1689032,520,2426.0,5.0,173.9644,677.1062,851.0706,0,0.6
48d048f745e5,Rotterdam,v_002,DTD,Rome,Milan,1700139,560,1446.0,5.0,1269.2365,477.3222,1746.5587,0,0.1
cf0aad93949b,Rotterdam,v_002,DTD,Zaragoza,Paris,1650715,593,1895.0,4.0,1212.1854,839.2165,2051.4019,0,0.6
8049ffb037fe,Rotterdam,v_001,DTD,Warsaw,Vienna,1692737,481,572.0,5.0,1135.6449,559.1571,1694.8020000000001,0,0.2
a0b170600cdd,Rotterdam,v_003,DTD,Warsaw,Amsterdam,1698913,495,1206.0,0.0,1135.6449,1101.3447,2236.9896,0,0.1
f67d34eaccd4,Athens,v_002,CRF,Hamburg,Rome,1620510,393,1308.0,4.0,2025.2207,1309.179,3334.3997,0,0.1
907989f190c0,Athens,v_002,CRF,Lille,Copenhagen,1683199,427,1933.0,5.0,2153.58,847.3082,3000.8882,0,0.3
43b970a34462,Barcelona,v_002,CRF,Venlo,Madrid,1693618,449,1346.0,3.0,1153.4178,1436.9241,2590.3419,0,0.1
5c03e6b95bf5,Athens,v_002,CRF,Venlo,Madrid,1684796,441,1727.0,5.0,2029.5726,1436.9241,3466.4966999999997,0,0.2
c6b6a9aecae0,Rotterdam,v_002,DTP,Lille,Bordeaux,1682681,607,1215.0,3.0,173.9644,699.6873,873.6517000000001,0,0.1
5e363c3bc56d,Barcelona,v_002,CRF,Hamburg,Barcelona,1683354,510,778.0,5.0,0.0,0.0,0.0,0,0.2
6c44b38d677f,Athens,v_001,DTD,Venlo,Madrid,1699022,561,1611.0,4.0,2029.5726,1436.9241,3466.4966999999997,0,0.1
f4db919ef45f,Rotterdam,v_002,DTP,Hamburg,Madrid,1650905,394,617.0,2.0,414.4489,1787.4018,2201.8507,0,0.2
b83b0f876780,Rotterdam,v_002,CRF,Lille,Athens,1699540,519,446.0,3.0,173.9644,2153.58,2327.5443999999998,0,0.3
f03c5256ddf8,Rotterdam,v_002,CRF,Lille,Barcelona,1674635,480,1449.0,3.0,173.9644,1030.8249,1204.7893000000001,0,0.1
9bf7802db0e9,Rotterdam,v_004,CRF,Bratislava,Naples,1613321,534,1086.0,0.0,995.7185,844.0198,1839.7383,0,0.5
8d0f2a34ac98,Rotterdam,v_002,DTD,Venlo,Bucharest,1672088,515,1085.0,3.0,130.0459,1672.4754,1802.5213,0,0.1
b1d216e9c667,Rotterdam,v_004,CRF,Venlo,Berlin,1644050,482,1517.0,3.0,130.0459,512.8188,642.8647,0,0.1
7bae9f061389,Rotterdam,v_002,DTD,Rome,Marseille,1669584,457,1013.0,4.0,1269.2365,604.0216,1873.2581,0,0.2
7dd925f87554,Athens,v_004,DTD,Hamburg,Vienna,1676564,367,1479.0,5.0,2025.2207,743.8643,2769.085,0,0.1
83b3ad051e26,Athens,v_002,CRF,Venlo,Paris,1676699,395,2151.0,5.0,2029.5726,392.9249,2422.4975,0,0.5
14d5952c9916,Athens,v_001,DTP,Rome,Paris,1686762,472,261.0,2.0,1053.5083,1108.5886,2162.0969,0,0.5
48fb107998d4,Rotterdam,v_004,CRF,Zaragoza,Vienna,1666524,438,755.0,2.0,1212.1854,1539.7663,2751.9517,0,0.2
3abb790208bf,Barcelona,v_002,CRF,Warsaw,Stockholm,1701405,535,1294.0,2.0,1870.1057,811.4601,2681.5658000000003,0,0.1
a26abb25f7a0,Athens,v_004,CRF,Lille,Naples,1678648,463,975.0,5.0,2153.58,1391.226,3544.806,0,0.1
273713310d89,Rotterdam,v_002,CRF,Rome,Copenhagen,1699312,490,1873.0,3.0,1269.2365,1533.9085,2803.145,0,0.1
b883fbbb19a5,Rotterdam,v_004,DTP,Dusseldorf,Vienna,1680781,441,1093.0,5.0,177.3075,768.3073,945.6148000000001,0,0.5
7866914f21c9,Rotterdam,v_002,DTP,Hamburg,Vienna,1657474,467,598.0,5.0,414.4489,743.8643,1158.3132,0,0.2
50e19ac59507,Rotterdam,v_002,DTD,Warsaw,Munich,1700140,480,338.0,5.0,1135.6449,816.0497,1951.6946,0,0.4
1a8c53fac9be,Rotterdam,v_004,CRF,Warsaw,Vienna,1693001,470,877.0,2.0,1135.6449,559.1571,1694.8020000000001,0,0.2
b391ef0d0c05,Rotterdam,v_004,CRF,Hamburg,Lisbon,1688290,427,1339.0,0.0,414.4489,2201.4676,2615.9165,0,0.1
97aed24d9a7d,Rotterdam,v_002,CRF,Venlo,Rome,1681883,487,1397.0,2.0,130.0459,1160.8464,1290.8923,0,0.1
39b2e173537d,Barcelona,v_002,DTP,Rome,Berlin,1699345,396,2158.0,5.0,859.9884,1183.0545,2043.0429,0,0.5
0fc74b67cf8d,Athens,v_002,CRF,Venlo,Hanover,1697083,562,2127.0,3.0,2029.5726,270.062,2299.6346,0,0.5
f1e0b7ebddba,Athens,v_004,CRF,Warsaw,Berlin,1685760,595,1840.0,5.0,1597.0905,523.8994,2120.9899,0,0.6
5046f5f416a6,Rotterdam,v_004,DTD,Lille,Cologne,1699231,518,734.0,3.0,173.9644,276.7793,450.7437,0,0.2
eda2274982b1,Rotterdam,v_002,DTD,Dusseldorf,Barcelona,1650715,639,1895.0,4.0,177.3075,1149.4065,1326.714,0,0.6
986cb7584399,Athens,v_004,DTD,Venlo,Helsinki,1613321,534,1086.0,0.0,2029.5726,1521.8218,3551.3944,0,0.5
44342a2348ac,Rotterdam,v_004,CRF,Venlo,Turin,1696456,324,1967.0,2.0,130.0459,712.3703,842.4162,0,0.3
fe75f99a4cdf,Athens,v_004,CRF,Lille,Malmö,1684170,510,505.0,4.0,2153.58,863.6312,3017.2111999999997,0,0.2
1b7b17f236a4,Athens,v_004,DTP,Rome,Paris,1692731,500,971.0,5.0,1053.5083,1108.5886,2162.0969,0,0.1
4fe0c1645e6b,Athens,v_002,CRF,Rome,Valencia,1692115,517,1273.0,2.0,1053.5083,1118.7306,2172.2389000000003,0,0.5
eced159defd7,Athens,v_004,DTD,Venlo,Vienna,1672714,543,1884.0,3.0,2029.5726,815.6854,2845.258,0,0.3
1bdc42c4c46c,Barcelona,v_002,DTP,Liege,Amsterdam,1696757,482,1509.0,5.0,1062.2681,197.927,1260.1951,0,0.2
579e64066574,Athens,v_002,DTP,Lille,Lisbon,1657013,500,1285.0,0.0,2153.58,1636.4555,3790.0355,0,0.1
3ebda9125dab,Barcelona,v_002,CRF,Lille,Paris,1676592,548,1540.0,4.0,1030.8249,204.8496,1235.6745,0,0.1
45d586a7d6a2,Athens,v_004,DTD,Warsaw,Madrid,1655982,470,1262.0,0.0,1597.0905,2297.8442,3894.9347,0,0.1
7.63E+26,Athens,v_004,DTD,Venlo,Naples,1696456,378,1967.0,2.0,2029.5726,1328.0246,3357.5972,0,0.3
cd04b0edee25,Athens,v_002,DTD,Hamburg,Lisbon,1688629,541,899.0,5.0,2025.2207,2201.4676,4226.6883,0,0.2
13d2d686b05f,Barcelona,v_001,CRF,Lille,Stockholm,1699022,554,1611.0,4.0,1030.8249,1357.4387,2388.2636,0,0.1
74296fad179a,Athens,v_002,CRF,Venlo,Rome,1676942,490,746.0,1.0,2029.5726,1160.8464,3190.419,0,0.2
b9f3e2d2068c,Rotterdam,v_004,DTD,Warsaw,Paris,1699841,487,1172.0,3.0,1135.6449,1376.6802,2512.3251,0,0.1
bd16e6e2ea8f,Athens,v_002,CRF,Venlo,Paris,1685952,434,553.0,3.0,2029.5726,392.9249,2422.4975,0,0.2
a4b02eeeadf3,Rotterdam,v_002,DTP,Lille,Vienna,1644200,409,1570.0,4.0,173.9644,1001.0708,1175.0352,0,0.7
63a2619719c6,Barcelona,v_002,CRF,Lille,Cologne,1655982,579,1262.0,0.0,1030.8249,276.7793,1307.6042,0,0.1
c94f043a1eda,Barcelona,v_002,CRF,Venlo,Marseille,1672345,413,1174.0,2.0,1153.4178,902.042,2055.4598,0,0.2
93b07f271f03,Athens,v_002,DTP,Venlo,Vienna,1663341,518,1019.0,2.0,2029.5726,815.6854,2845.258,0,0.1
27fcb442c2f2,Rotterdam,v_002,DTD,Dusseldorf,Berlin,1672706,439,1684.0,5.0,177.3075,477.3717,654.6792,0,0.2
f6045490f921,Barcelona,v_002,DTD,Bratislava,Turin,1644062,512,862.0,5.0,1397.414,798.6767,2196.0906999999997,0,0.2
d9f4ab0861b9,Rotterdam,v_003,CRF,Dusseldorf,Lyon,1695139,529,669.0,2.0,177.3075,624.6864,801.9939,0,0.2
a06fd66ba226,Barcelona,v_004,DTD,Venlo,Bucharest,1657474,429,598.0,5.0,1153.4178,1672.4754,2825.8932,0,0.2
245edacf0d5d,Athens,v_002,DTD,Warsaw,Berlin,1683407,356,2199.0,1.0,1597.0905,523.8994,2120.9899,0,0.6
e42ff8898a18,Rotterdam,v_004,CRF,Hamburg,Cologne,1680738,622,1738.0,2.0,414.4489,357.1486,771.5975,0,0.1
7b9478134bc5,Athens,v_002,DTP,Lille,Lyon,1689469,460,1395.0,5.0,2153.58,558.1464,2711.7264,0,0.1
fa95dd54699c,Athens,v_004,CRF,Warsaw,Vienna,1692948,466,773.0,0.0,1597.0905,559.1571,2156.2476,0,0.1
0fec5536aa8c,Athens,v_004,CRF,Warsaw,Rome,1672706,543,1684.0,5.0,1597.0905,1319.6796,2916.7700999999997,0,0.2
8ec25db029f2,Athens,v_004,DTD,Lille,Cologne,1689146,797,2736.0,0.0,2153.58,276.7793,2430.3593,0,0.8
74d54ec63743,Athens,v_003,CRF,Warsaw,Bordeaux,1650715,427,1895.0,4.0,1597.0905,1788.2674,3385.3579,0,0.6
d4492a7d7ee0,Athens,v_002,DTD,Hamburg,Milan,1689543,425,1977.0,5.0,2025.2207,901.2353,2926.456,0,0.4
1473312f3d12,Barcelona,v_004,CRF,Warsaw,Vienna,1696799,406,561.0,5.0,1870.1057,559.1571,2429.2628,0,0.2
0a411dd552b2,Rotterdam,v_002,DTP,Hamburg,Hanover,1650571,621,1568.0,5.0,414.4489,132.0362,546.4851,0,0.0
1ae2c6ac244a,Rotterdam,v_002,DTD,Rome,Malmö,1690617,425,1583.0,2.0,1269.2365,1525.2925,2794.529,0,0.2
f4cca17a16ed,Rotterdam,v_004,DTD,Dusseldorf,Milan,1644200,635,1570.0,4.0,177.3075,665.0376,842.3451,0,0.7
5c37ad12babf,Rotterdam,v_002,CRF,Warsaw,Malmö,1699248,411,1953.0,3.0,1135.6449,648.9997,1784.6446,0,0.3
1b73cb9424f0,Barcelona,v_002,DTD,Warsaw,Vienna,1656348,544,1548.0,2.0,1870.1057,559.1571,2429.2628,0,0.1
c2b6008f8f71,Rotterdam,v_002,CRF,Bratislava,Copenhagen,1699570,657,1885.0,5.0,995.7185,894.1859,1889.9044,0,0.2
f99df198d781,Athens,v_002,CRF,Hamburg,Athens,1613321,552,1086.0,0.0,0.0,0.0,0.0,0,0.5
2aa86c62252e,Rotterdam,v_003,CRF,Venlo,Milan,1691546,352,1553.0,5.0,130.0459,696.3485,826.3943999999999,0,0.1
a225506db051,Rotterdam,v_001,DTP,Zaragoza,Turin,1656969,442,806.0,0.0,1212.1854,790.531,2002.7164,0,0.1
4a9e86757eb4,Rotterdam,v_002,CRF,Dusseldorf,Amsterdam,1700094,466,1514.0,5.0,177.3075,182.1019,359.4094,0,0.2
a80d85873caa,Rotterdam,v_002,DTD,Liege,Lisbon,1667126,502,274.0,4.0,161.5622,1759.8255,1921.3877,0,0.4
0677d49eaadd,Rotterdam,v_002,DTD,Lille,Amsterdam,1613321,518,1086.0,0.0,173.9644,231.1954,405.1598,0,0.5
c826cce8e927,Rotterdam,v_002,DTD,Warsaw,Amsterdam,1682742,462,1059.0,5.0,1135.6449,1101.3447,2236.9896,0,0.1
732829cb6db3,Athens,v_004,DTP,Bratislava,Lyon,1681377,446,1142.0,2.0,1250.4735,970.4925,2220.966,0,0.1
2a2bcf124b69,Rotterdam,v_004,CRF,Bratislava,Vienna,1692955,503,567.0,1.0,995.7185,55.1533,1050.8718,0,0.2
d6d27f32b559,Rotterdam,v_004,CRF,Warsaw,Paris,1684703,330,1522.0,5.0,1135.6449,1376.6802,2512.3251,0,0.1
75494a4621b8,Rotterdam,v_002,DTP,Hamburg,Vienna,1702654,475,964.0,3.0,414.4489,743.8643,1158.3132,0,0.1
291a6716aefe,Athens,v_004,CRF,Hamburg,Copenhagen,1677884,501,1091.0,5.0,2025.2207,289.9676,2315.1883000000003,0,0.1
6d21402c96c9,Barcelona,v_002,DTP,Venlo,Rome,1682983,497,1781.0,1.0,1153.4178,1160.8464,2314.2641999999996,0,0.3
4dbfeb08bb56,Barcelona,v_002,CRF,Rome,Paris,1689551,437,1572.0,0.0,859.9884,1108.5886,1968.577,0,0.2
0a0cf3d5fb07,Athens,v_001,CRF,Warsaw,Marseille,1622685,438,1230.0,3.0,1597.0905,1534.6302,3131.7207,0,0.1
7d59128c39b8,Rotterdam,v_004,DTP,Dusseldorf,Munich,1657474,492,598.0,5.0,177.3075,487.5926,664.9001000000001,0,0.2
65262a504dc9,Rotterdam,v_004,DTD,Venlo,Vienna,1667126,497,274.0,4.0,130.0459,815.6854,945.7312999999999,0,0.4
501ca53c20fd,Athens,v_002,DTD,Hamburg,Madrid,1693626,409,1192.0,3.0,2025.2207,1787.4018,3812.6225000000004,0,0.1
4070eee97766,Athens,v_002,DTD,Rome,Munich,1672706,524,1684.0,5.0,1053.5083,697.5485,1751.0567999999998,0,0.2
9ade770aaab2,Rotterdam,v_002,CRF,Venlo,Naples,1672088,445,1085.0,3.0,130.0459,1328.0246,1458.0705,0,0.1
22179e2e6592,Rotterdam,v_001,DTP,Lille,Budapest,1688294,506,538.0,5.0,173.9644,1215.7651,1389.7295000000001,0,0.3
827b84fee63f,Athens,v_004,DTD,Warsaw,Paris,1650715,542,1895.0,4.0,1597.0905,1376.6802,2973.7707,0,0.6
2b0224752fca,Athens,v_004,CRF,Venlo,Budapest,1613321,448,1086.0,0.0,2029.5726,1028.3023,3057.8749,0,0.5
967ccd3ffa15,Rotterdam,v_001,DTD,Hamburg,Rome,1677887,496,433.0,5.0,414.4489,1309.179,1723.6279,0,0.4
cd2be5f52dce,Athens,v_002,CRF,Hamburg,Berlin,1684796,415,1727.0,5.0,2025.2207,254.6944,2279.9151,0,0.2
1047b86efbe2,Athens,v_004,DTD,Warsaw,Berlin,1683634,557,1333.0,1.0,1597.0905,523.8994,2120.9899,0,0.1
c12470ca91cc,Rotterdam,v_004,DTD,Warsaw,Barcelona,1666524,509,755.0,2.0,1135.6449,1870.1057,3005.7506000000003,0,0.2
6c310cef27cd,Barcelona,v_004,DTD,Dusseldorf,Paris,1657437,495,674.0,2.0,1149.4065,413.6191,1563.0256,0,0.2
edf173950615,Barcelona,v_001,DTD,Venlo,Amsterdam,1657063,350,1842.0,4.0,1153.4178,139.2635,1292.6813,0,0.3
ecb531a70cd4,Rotterdam,v_004,DTD,Warsaw,Marseille,1699570,446,1885.0,5.0,1135.6449,1534.6302,2670.2751,0,0.2
2fa72dc32611,Rotterdam,v_004,DTD,Warsaw,Berlin,1697081,546,2239.0,3.0,1135.6449,523.8994,1659.5443,0,0.6
93fb4c074414,Athens,v_002,DTD,Hamburg,Madrid,1672088,584,1085.0,3.0,2025.2207,1787.4018,3812.6225000000004,0,0.1
9bbeab9387e7,Rotterdam,v_004,CRF,Hamburg,Lyon,1699353,462,847.0,5.0,414.4489,943.0273,1357.4762,0,0.1
